pH,TDS,turbidity,nitrate,arsenic,lead,fluoride,hardness,temperature,EC,coliform,safe_water
6.96,347.56,3.6,14.1,0.0021,0.0043,0.85,138.77,26.79,256.94,0.0,1
6.9,180.53,0.1,9.17,0.0034,0.0054,0.56,134.5,29.3,1231.32,0.0,1
7.83,120.21,0.16,14.16,0.0084,0.007,0.33,118.42,19.96,953.11,0.0,1
7.97,1179.47,2.89,24.21,0.0,0.0,2.97,571.14,41.52,2109.76,8.31,0
7.32,962.4,6.71,25.38,0.05,0.04,1.57,330.26,13.13,2785.78,29.96,0
6.28,1596.38,13.0,28.55,0.02,0.03,2.22,190.53,37.56,1500.61,39.36,0
7.87,246.91,1.21,14.65,0.0051,0.0062,0.5,170.51,19.05,702.32,0.0,1
9.0,1110.43,10.83,90.3,0.05,0.01,1.63,528.17,30.13,919.25,10.69,0
6.36,1336.64,14.23,76.48,0.01,0.01,0.41,86.08,19.42,2535.61,9.28,0
7.17,184.77,1.53,37.03,0.0036,0.0047,1.3,183.84,25.55,386.18,0.0,1
7.14,363.34,0.99,37.67,0.0006,0.0,1.14,102.0,22.92,213.28,0.0,1
7.33,1265.96,10.1,98.47,0.01,0.04,2.56,273.18,26.84,2199.56,5.44,0
5.86,1971.81,10.53,70.55,0.02,0.04,2.37,73.97,31.92,447.35,23.73,0
7.74,333.87,1.93,20.74,0.0032,0.0002,0.68,140.77,29.37,499.84,0.0,1
7.89,420.3,12.88,55.2,0.02,0.02,1.72,311.93,16.94,2975.85,32.5,0
5.13,1794.63,8.46,94.6,0.0,0.0,0.1,430.48,20.45,1582.38,21.33,0
7.34,278.5,2.46,15.33,0.0007,0.007,0.82,227.84,20.92,262.29,0.0,1
9.25,475.86,11.92,94.92,0.03,0.01,0.72,478.73,12.44,1708.2,19.02,0
7.57,364.62,3.57,13.03,0.0003,0.0046,1.34,212.17,15.48,1224.89,0.0,1
7.57,336.27,3.73,1.94,0.0068,0.0017,0.8,120.27,22.2,537.01,0.0,1
9.26,764.42,0.75,26.87,0.02,0.03,2.94,466.15,16.83,1759.82,18.0,0
7.62,248.88,0.94,18.44,0.0032,0.005,0.57,224.99,28.8,671.67,0.0,1
6.03,1219.03,8.06,91.24,0.0,0.04,0.67,529.97,14.26,168.1,45.58,0
7.62,304.29,2.21,27.04,0.0049,0.0073,0.98,132.41,28.25,1177.88,0.0,1
7.46,139.08,2.12,6.7,0.0087,0.0023,1.01,235.55,16.58,473.93,0.0,1
7.27,329.14,0.64,13.1,0.0019,0.0081,0.54,202.11,28.73,1059.25,0.0,1
7.92,196.03,2.93,35.73,0.0029,0.0007,0.66,204.78,26.91,543.46,0.0,1
7.03,346.76,1.73,22.24,0.0069,0.0062,1.24,209.91,18.95,712.57,0.0,1
7.27,772.01,7.13,45.1,0.03,0.05,1.77,79.48,34.22,778.81,43.4,0
9.45,1975.56,4.15,35.38,0.02,0.01,1.09,106.94,24.34,2849.29,0.22,0
7.49,321.24,0.87,31.44,0.0047,0.0033,0.5,112.11,23.86,889.96,0.0,1
